City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
109,Krasnyy Chikoy,RU,2020-01-05 22:28:13,50.36,108.75,-5.06,99,49,2.17,scattered clouds,0.0,0.0
110,Hasaki,JP,2020-01-05 22:28:13,35.73,140.83,32.0,50,20,2.24,few clouds,0.0,0.0
111,Los Llanos De Aridane,ES,2020-01-05 22:28:14,28.66,-17.92,64.4,59,75,9.17,broken clouds,0.0,0.0
112,Husavik,CA,2020-01-05 22:28:14,50.56,-96.99,26.01,62,37,5.99,scattered clouds,0.0,0.0
113,Luangwa,MZ,2020-01-05 22:28:14,-15.62,30.4,70.12,96,92,1.16,overcast clouds,0.0,0.0
114,Linxia,CN,2020-01-05 22:28:14,35.6,103.21,20.34,75,100,1.1,overcast clouds,0.0,0.0
115,San Cristobal,HN,2020-01-05 22:28:14,14.68,-86.92,69.13,77,96,10.8,overcast clouds,0.0,0.0
116,Epe,DE,2020-01-05 22:28:14,52.18,7.04,44.01,75,75,6.93,broken clouds,0.0,0.0
117,Tuktoyaktuk,CA,2020-01-05 22:28:15,69.44,-133.03,-20.2,68,75,9.17,broken clouds,0.0,0.0
118,Iqaluit,CA,2020-01-05 22:24:06,63.75,-68.52,-20.2,68,90,2.24,light snow,0.0,0.0
119,Yellowknife,CA,2020-01-05 22:28:15,62.45,-114.38,-14.01,75,20,5.82,few clouds,0.0,0.0
120,Vila Franca Do Campo,PT,2020-01-05 22:28:15,37.72,-25.43,64.4,93,40,17.22,scattered clouds,0.0,0.0
121,Khatanga,RU,2020-01-05 22:28:15,71.98,102.47,-8.95,88,100,6.8,overcast clouds,0.0,0.0
122,Sibolga,ID,2020-01-05 22:28:16,1.74,98.78,68.79,94,8,4.03,clear sky,0.0,0.0
123,Bredasdorp,ZA,2020-01-05 22:28:16,-34.53,20.04,66.2,68,100,8.05,overcast clouds,0.0,0.0
124,Iracoubo,GF,2020-01-05 22:28:16,5.48,-53.21,79.74,77,29,12.21,scattered clouds,0.0,0.0
125,New Norfolk,AU,2020-01-05 22:28:16,-42.78,147.06,63.0,51,40,4.7,scattered clouds,0.0,0.0
126,Amudat,UG,2020-01-05 22:28:16,1.95,34.95,74.05,51,66,5.17,broken clouds,0.0,0.0
127,Mexticacan,MX,2020-01-05 22:28:17,21.27,-102.78,71.6,10,40,6.93,scattered clouds,0.0,0.0
128,Ponta Do Sol,BR,2020-01-05 22:23:30,-20.63,-46.0,75.29,84,20,4.41,light rain,1.94,0.0
129,Anadyr,RU,2020-01-05 22:28:17,64.73,177.51,-29.2,73,0,11.18,fog,0.0,0.0
130,Lebu,ET,2020-01-05 22:28:17,8.96,38.73,57.2,71,75,6.93,broken clouds,0.0,0.0
131,Khonuu,ET,2020-01-05 22:28:17,8.96,38.73,57.2,71,75,6.93,broken clouds,0.0,0.0
132,Amderma,ET,2020-01-05 22:28:17,8.96,38.73,57.2,71,75,6.93,broken clouds,0.0,0.0
133,Lompoc,US,2020-01-05 22:28:18,34.64,-120.46,68.0,59,1,18.34,clear sky,0.0,0.0
134,Mahebourg,MU,2020-01-05 22:28:18,-20.41,57.7,73.4,100,75,10.29,moderate rain,0.0,0.0
135,Nome,US,2020-01-05 22:28:18,30.04,-94.42,73.4,43,1,8.05,clear sky,0.0,0.0
136,Vieux-Habitants,GP,2020-01-05 22:28:18,16.06,-61.77,75.2,88,90,5.82,overcast clouds,0.0,0.0
137,Okhotsk,RU,2020-01-05 22:28:18,59.36,143.24,3.43,76,0,12.03,clear sky,0.0,0.0
138,Georgetown,GY,2020-01-05 22:26:09,6.8,-58.16,80.6,74,0,4.7,clear sky,0.0,0.0
139,Monrovia,LR,2020-01-05 22:28:19,6.33,-10.8,71.6,94,20,7.96,mist,0.0,0.0
140,Lorengau,PG,2020-01-05 22:28:19,-2.02,147.27,84.42,72,94,9.64,light rain,2.25,0.0
141,Tsihombe,PG,2020-01-05 22:28:19,-2.02,147.27,84.42,72,94,9.64,light rain,0.0,0.0
142,Damavand,IR,2020-01-05 22:28:19,35.72,52.07,33.8,64,0,4.43,clear sky,0.0,0.0
143,Hvammstangi,IR,2020-01-05 22:28:19,35.72,52.07,33.8,64,0,4.43,clear sky,0.0,0.0
144,Akyab,IR,2020-01-05 22:28:19,35.72,52.07,33.8,64,0,4.43,clear sky,0.0,0.0
145,Barentsburg,IR,2020-01-05 22:28:19,35.72,52.07,33.8,64,0,4.43,clear sky,0.0,0.0
146,Dorogobuzh,RU,2020-01-05 22:28:20,54.91,33.3,25.23,89,18,6.11,few clouds,0.0,0.0
147,Waipawa,NZ,2020-01-05 22:28:20,-39.94,176.59,64.99,55,0,21.0,clear sky,0.0,0.0
148,Bulaevo,KZ,2020-01-05 22:28:20,54.91,70.44,13.03,94,90,11.79,overcast clouds,0.0,0.0
149,Saint George,GR,2020-01-05 22:28:20,39.45,22.34,42.01,56,75,12.75,broken clouds,0.0,0.0
150,Saskylakh,RU,2020-01-05 22:28:21,71.97,114.09,-19.21,94,0,13.09,clear sky,0.0,0.0
151,Karamay,RU,2020-01-05 22:28:21,71.97,114.09,-19.21,94,0,13.09,clear sky,0.0,0.0
152,Esteio,BR,2020-01-05 22:28:21,-29.85,-51.18,84.2,57,76,20.8,broken clouds,0.0,0.0
153,Sola,TZ,2020-01-05 22:28:21,-3.17,33.8,66.42,84,89,4.52,overcast clouds,0.0,0.0
154,Redding,US,2020-01-05 22:28:21,40.59,-122.39,55.4,50,1,4.7,clear sky,0.0,0.0
155,Espanola,CA,2020-01-05 22:28:22,46.27,-81.77,17.69,93,100,4.88,overcast clouds,0.0,0.0
156,Tecoanapa,MX,2020-01-05 22:28:22,16.99,-99.26,86.0,70,40,6.93,scattered clouds,0.0,0.0
157,Keflavik,IS,2020-01-05 22:28:22,64.0,-22.56,37.4,86,90,9.17,shower rain,0.0,0.0
158,Grootfontein,NA,2020-01-05 22:28:22,-19.56,18.1,65.53,91,100,8.23,moderate rain,4.25,0.0
159,Dahra,DZ,2020-01-05 22:28:22,36.25,0.85,46.4,87,0,4.7,clear sky,0.0,0.0
160,Saint-Pierre,FR,2020-01-05 22:28:22,48.95,4.24,33.8,100,0,4.7,clear sky,0.0,0.0
161,Dikson,RU,2020-01-05 22:28:23,73.51,80.55,17.56,91,95,20.65,light snow,0.0,0.19
162,Magistralnyy,RU,2020-01-05 22:28:23,56.17,107.45,3.27,89,42,3.67,scattered clouds,0.0,0.0
163,Manavalakurichi,IN,2020-01-05 22:28:23,8.13,77.3,80.6,94,40,25.21,mist,0.0,0.0
164,Bassano,CA,2020-01-05 22:28:23,50.79,-112.47,28.99,76,0,1.99,clear sky,0.0,0.0
165,Novorzhev,RU,2020-01-05 22:28:23,57.03,29.33,26.94,90,6,4.52,clear sky,0.0,0.0
166,Tapaua,RU,2020-01-05 22:28:23,57.03,29.33,26.94,90,6,4.52,clear sky,0.0,0.0
167,Ucluelet,CA,2020-01-05 22:28:24,48.94,-125.55,46.0,70,20,13.87,few clouds,0.0,0.0
168,Kodiak,US,2020-01-05 22:28:24,39.95,-94.76,50.0,42,1,19.46,clear sky,0.0,0.0
169,Liverpool,GB,2020-01-05 22:28:24,53.41,-2.98,48.2,81,53,8.05,broken clouds,0.0,0.0
170,Condega,NI,2020-01-05 22:28:24,13.36,-86.4,75.2,60,20,18.34,few clouds,0.0,0.0
171,Fort-Shevchenko,KZ,2020-01-05 22:28:25,44.51,50.26,30.38,57,100,6.53,overcast clouds,0.0,0.0
172,Dongsheng,CN,2020-01-05 22:28:25,29.72,112.52,47.39,93,100,7.16,overcast clouds,0.0,0.0
173,Phonhong,LA,2020-01-05 22:28:25,18.5,102.42,67.17,84,0,0.85,clear sky,0.0,0.0
174,Manono,CD,2020-01-05 22:28:25,-7.3,27.4,69.87,95,100,1.3,overcast clouds,0.0,0.0
175,Barcelos,BR,2020-01-05 22:28:25,-0.97,-62.93,90.72,53,76,2.73,broken clouds,0.0,0.0
176,Turlock,US,2020-01-05 22:28:07,37.49,-120.85,60.8,44,1,18.34,clear sky,0.0,0.0
177,Grand River South East,US,2020-01-05 22:28:07,37.49,-120.85,60.8,44,1,18.34,clear sky,0.0,0.0
178,Peleduy,RU,2020-01-05 22:28:26,59.63,112.75,13.48,93,100,13.38,light snow,0.0,0.81
179,Mabaruma,GY,2020-01-05 22:28:26,8.2,-59.78,80.8,67,64,5.41,broken clouds,0.0,0.0
180,Esperance,AU,2020-01-05 22:28:26,-33.86,121.89,66.2,52,33,20.8,scattered clouds,0.0,0.0
181,Hamilton,CA,2020-01-05 22:23:43,43.26,-79.87,35.6,80,90,14.99,overcast clouds,0.0,0.0
182,Maykain,CA,2020-01-05 22:23:43,43.26,-79.87,35.6,80,90,14.99,overcast clouds,0.0,0.0
183,Ilebo,CD,2020-01-05 22:28:27,-4.33,20.59,69.46,97,100,0.25,overcast clouds,0.0,0.0
184,Manta,RO,2020-01-05 22:24:20,45.1,24.1,30.11,61,0,1.43,clear sky,0.0,0.0
185,Oranjemund,ZA,2020-01-05 22:24:05,-28.55,16.43,62.89,91,0,12.39,clear sky,0.0,0.0
186,Comodoro Rivadavia,AR,2020-01-05 22:28:27,-45.87,-67.48,73.4,28,100,18.34,overcast clouds,0.0,0.0
187,College,US,2020-01-05 22:28:28,64.86,-147.8,-14.01,73,95,1.25,overcast clouds,0.0,0.0
188,Palmer,AU,2020-01-05 22:28:28,-34.85,139.16,66.99,51,1,4.7,clear sky,0.0,0.0
189,Mandeville,US,2020-01-05 22:26:22,30.36,-90.07,64.99,42,1,3.36,clear sky,0.0,0.0
190,Kenai,US,2020-01-05 22:28:28,60.55,-151.26,1.99,76,40,6.93,scattered clouds,0.0,0.0
191,Boa Vista,BR,2020-01-05 22:27:26,2.82,-60.67,91.4,41,0,8.05,clear sky,0.0,0.0
192,Sargatskoye,RU,2020-01-05 22:28:29,55.6,73.49,13.23,94,87,10.76,overcast clouds,0.0,0.0
193,Sao Jose Da Coroa Grande,BR,2020-01-05 22:28:29,-8.9,-35.15,80.53,73,100,11.92,overcast clouds,0.0,0.0
194,Katsiveli,BR,2020-01-05 22:28:29,-8.9,-35.15,80.53,73,100,11.92,overcast clouds,0.0,0.0
