City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
232,Comodoro Rivadavia,AR,71.6,scattered clouds,-45.87,-67.48,Austral Hotel
234,Harper,US,73.99,clear sky,30.3,-99.24,
243,Sorong,ID,74.26,scattered clouds,-0.86,131.25,The Waigo Hotel
246,Richards Bay,ZA,79.56,clear sky,-28.77,32.06,BON Hotel Waterfront Richards Bay
247,Puerto Escondido,MX,87.8,scattered clouds,15.86,-97.07,Aldea del Bazar Hotel and Spa
248,San Ramon,NI,77,few clouds,12.92,-85.84,Casagallovago
251,Sao Filipe,CV,72,few clouds,14.9,-24.5,Tortuga B&B
258,Grand-Santi,GF,90.19,broken clouds,4.27,-54.38,Hôtel La Villa Couacou
261,Inhambane,MZ,80.6,few clouds,-23.87,35.38,MHL Turismo SA
265,Mariental,BR,78.01,broken clouds,-25.72,-49.65,
266,Natal,BR,86,scattered clouds,-5.81,-35.21,Monza Palace Hotel
267,Atambua,ID,75.92,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
268,Byron Bay,AU,73,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
270,Celestun,MX,72.32,few clouds,20.87,-90.4,Posada Lilia
274,Maputo,MZ,81,scattered clouds,-25.97,32.57,Pestana Rovuma
276,Nazca,PE,84.31,broken clouds,-14.83,-74.94,Casa Andina Standard Nasca
277,Sorvag,PE,84.31,broken clouds,-14.83,-74.94,Casa Andina Standard Nasca
280,Nokaneng,BW,78.44,light rain,-19.66,22.19,
284,Kieta,PG,81.82,broken clouds,-6.22,155.63,
286,Mangai,CD,72.91,light rain,-4.07,19.59,
289,Morondava,MG,79.05,light rain,-20.3,44.28,La Case Bambou
294,Namatanai,PG,83.77,light rain,-3.66,152.44,Namatanai Hotel
296,Victoria,BN,82,broken clouds,5.28,115.24,Tiara Labuan Hotel
297,Kazalinsk,BN,82,broken clouds,5.28,115.24,Tiara Labuan Hotel
298,Amderma,BN,82,broken clouds,5.28,115.24,Tiara Labuan Hotel
299,Balikpapan,ID,73.13,light rain,-1.24,116.86,Grand Jatra Hotel Balikpapan
303,Emerald,AU,73.4,few clouds,-23.53,148.16,The Irish Village
305,Mahebourg,MU,73.4,moderate rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
