City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
116,Kodiak,US,2020-01-05 19:26:21,39.95,-94.76,51.01,43,1,21.92,clear sky,0.0,0.0
117,Lata,IN,2020-01-05 19:26:21,30.78,78.62,11.91,64,100,5.66,overcast clouds,0.0,0.0
118,Luganville,VU,2020-01-05 19:26:21,-15.51,167.18,82.4,78,75,12.75,broken clouds,0.0,0.0
119,Geraldton,CA,2020-01-05 19:26:22,49.72,-86.95,12.2,85,90,11.41,light snow,0.0,0.0
120,Saint-Philippe,CA,2020-01-05 19:26:22,45.36,-73.48,24.01,57,90,14.99,overcast clouds,0.0,0.0
121,Azimur,CA,2020-01-05 19:26:22,45.36,-73.48,24.01,57,90,14.99,overcast clouds,0.0,0.0
122,Nizhneyansk,CA,2020-01-05 19:26:22,45.36,-73.48,24.01,57,90,14.99,overcast clouds,0.0,0.0
123,Kvitok,RU,2020-01-05 19:26:22,56.08,98.48,20.91,92,100,5.66,light snow,0.0,0.25
124,Anzio,IT,2020-01-05 19:26:22,41.45,12.63,51.8,36,0,10.29,clear sky,0.0,0.0
125,Bolshoye Soldatskoye,IT,2020-01-05 19:26:22,41.45,12.63,51.8,36,0,10.29,clear sky,0.0,0.0
126,Chokurdakh,RU,2020-01-05 19:26:23,70.62,147.9,-20.74,98,75,6.67,broken clouds,0.0,0.0
127,Lephepe,RU,2020-01-05 19:26:23,70.62,147.9,-20.74,98,75,6.67,broken clouds,0.0,0.0
128,Santana Do Livramento,BR,2020-01-05 19:23:50,-30.89,-55.53,88.45,34,20,8.99,few clouds,0.0,0.0
129,Lavrentiya,RU,2020-01-05 19:26:23,65.58,-170.99,-12.39,90,96,8.77,overcast clouds,0.0,0.0
130,Hermanus,ZA,2020-01-05 19:26:24,-34.42,19.24,64.0,90,100,1.01,overcast clouds,0.0,0.0
131,Eskasem,ZA,2020-01-05 19:26:24,-34.42,19.24,64.0,90,100,1.01,overcast clouds,0.0,0.0
132,Fort Nelson,CA,2020-01-05 19:26:24,58.81,-122.69,-7.6,76,90,8.05,light snow,0.0,0.0
133,Isoka,ZM,2020-01-05 19:26:24,-10.15,32.64,66.56,91,100,4.34,moderate rain,3.94,0.0
134,Sentyabrskiy,ZM,2020-01-05 19:26:24,-10.15,32.64,66.56,91,100,4.34,moderate rain,0.0,0.0
135,Beringovskiy,RU,2020-01-05 19:26:24,63.05,179.32,-7.94,80,87,16.15,overcast clouds,0.0,0.0
136,Khatanga,RU,2020-01-05 19:26:25,71.98,102.47,-8.79,86,93,8.77,overcast clouds,0.0,0.0
137,Biak,ID,2020-01-05 19:26:25,-0.91,122.88,79.61,82,100,10.47,light rain,1.06,0.0
138,Yarovoye,RU,2020-01-05 19:26:25,52.92,78.56,14.99,93,38,8.52,scattered clouds,0.0,0.0
139,Pacific Grove,US,2020-01-05 19:23:23,36.62,-121.92,57.2,54,1,3.36,clear sky,0.0,0.0
140,Khovu-Aksy,RU,2020-01-05 19:26:25,51.13,93.72,-0.65,77,0,7.4,clear sky,0.0,0.0
141,Kununurra,AU,2020-01-05 19:26:26,-15.77,128.74,78.8,94,40,5.82,scattered clouds,0.0,0.0
142,Hobyo,SO,2020-01-05 19:26:26,5.35,48.53,80.04,75,64,12.5,broken clouds,0.0,0.0
143,Port Alfred,ZA,2020-01-05 19:26:26,-33.59,26.89,69.01,88,62,1.99,light rain,0.13,0.0
144,Wuwei,CN,2020-01-05 19:26:26,37.93,102.64,16.88,57,75,0.49,broken clouds,0.0,0.0
145,Ixtapa,MX,2020-01-05 19:26:26,20.71,-105.21,87.8,19,20,6.93,few clouds,0.0,0.0
146,Cape Town,ZA,2020-01-05 19:22:03,-33.93,18.42,70.0,82,75,9.17,broken clouds,0.0,0.0
147,Port-Gentil,GA,2020-01-05 19:26:27,-0.72,8.78,82.4,88,40,10.29,scattered clouds,0.0,0.0
148,Odweyne,GA,2020-01-05 19:26:27,-0.72,8.78,82.4,88,40,10.29,scattered clouds,0.0,0.0
149,Lasa,CY,2020-01-05 19:26:27,34.92,32.53,53.6,81,75,5.82,broken clouds,0.0,0.0
150,Campagna,IT,2020-01-05 19:26:27,40.66,15.11,48.0,42,5,24.16,clear sky,0.0,0.0
151,Guerrero Negro,MX,2020-01-05 19:26:27,27.97,-114.04,69.24,27,0,4.27,clear sky,0.0,0.0
152,Port Hueneme,US,2020-01-05 19:22:04,34.15,-119.2,69.8,32,1,5.82,clear sky,0.0,0.0
